module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_4c2935a1c2cc20fe,EN1611,EN1611 - World Literature,Department of Arts and Humanities,Dr Peter Wilkin,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Brunel campus is a global majority campus with over 150 different countries represented and well over 150 different languages spoken. It is located in West Lond...,0
module_4cd5176dca6b7e04,ES5621,ES5621 - Research Planning and Communication Skills,Department of Life Sciences,Dr Sofia Barbosa Boucas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The module aims to develop students' written and verbal communication skills. Students will gain experience in writing a research proposal and presenting their ...,0
module_4d69c86315529aac,,Enhancing Skills for Child Nursing,Department of Health Sciences,Dr Mark Wareing,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will build on and enable the child nursing student to further develop their knowledge and skills required for their role in assessing and initiating...,0
module_4d84458e86fb8db9,GY200F,GY200F Dynamic Earth (field-based),Department of Social and Political Sciences,Unassigned Lead,Sparse / Missing Syllabus Description,,0
module_4e4c544f8b13e231,SP3614,SP3614 - Employability and Professional Development,Department of Life Sciences,Dr Sofia Barbosa Boucas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"The aim of this module is to continue to improve students’ professional development and employability through critical reflexive practice, personal responsibili...",0
module_4e9038cc4c594d87,EN3622,"EN3622 - Literature, Culture, Society: The Victorians",Department of Arts and Humanities,Dr Ellie Reed,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Shaped by industrial revolution and radical social reform, the Victorian period was a time of enormous historical and literary change, introducing key values, i...",0
module_4f52d9097e4a712b,PX3616,PX3616 - The Second World War,Department of Social and Political Sciences,Dr Richard Hammond,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module explores the military, political and socio-economic events and developments of the Second World War. Students will focus on the historiography and c...",0
module_4f858b5a4b254ee4,,Algebra B,"Department of Economics, Finance and Accounting",Unassigned Lead,Sparse / Missing Syllabus Description,,0
module_4fbc6e2fe4dec875,EE5656,EE5656 - Advanced Analogue Electronics and Photonics,Department of Electronic and Computer Engineering,Dr Lu Gan,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module aims to enable students to focus on photonic systems and electronic systems for sensors in general the use of real-world examples and hence to acqui...,0
module_5008d524b433f1c4,SA2615,SA2615 - Understanding Childhood and Youth,"Department of Social Sciences, Media and Communications",Professor Peggy Froerer,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will introduce you to the study of childhood and youth as they are constructed and practiced in different social, cultural and economic settings. Th...",0
